번호,종목코드,기업명,업종코드,업종,상장주식수(주),자본금(원),액면가(원),통화구분,대표전화,주소,총카운트
1246,025530,에스제이엠홀딩스,074502,자동차 부품 및 내장품 판매업,"14,934,008","7,467,004,000","500",원(KRW),031-491-4151,경기도 안산시 단원구 별망로459번길 20 ,2367
1247,080440,에스제이케이,074607,기타 전문 도매업,"13,325,960","6,662,980,000","500",원(KRW),02-2106-2309,서울특별시 금천구 벚꽃로 278 SJ테크노빌 205호,2367
1248,217910,에스제이켐,032001,기초 화학물질 제조업,"12,990,522","1,299,052,200","100",원(KRW),041-881-9454,전라북도 익산시 왕궁면 무왕로 2243-23 ,2367
1249,326030,에스케이바이오팜,137001,자연과학 및 공학 연구개발업,"78,313,250","39,156,625,000","500",원(KRW),031-8093-0114,경기도 성남시 분당구 판교역로 221 ,2367
1250,224020,에스케이씨에스,032202,플라스틱제품 제조업,"2,700,000","1,350,000,000","500",원(KRW),031-761-7703,경기도 광주시 초월읍 산수로554번길 47 ,2367
1251,096630,에스코넥,032604,통신 및 방송 장비 제조업,"65,265,724","13,053,144,800","200",원(KRW),031-799-0700,경기도 광주시  오포읍 마루들길172번길 30 ,2367
1252,069510,에스텍,032605,영상 및 음향기기 제조업,"10,910,000","5,455,000,000","500",원(KRW),(055)370-2200,경상남도 양산시  유산공단9길 22 ,2367
1253,041910,에스텍파마,032102,의약품 제조업,"11,898,263","5,949,131,500","500",원(KRW),031-831-4800,경기도 화성시 향남읍 발안공단로 25 ,2367
1254,234300,에스트래픽,106201,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","11,921,180","5,960,590,000","500",원(KRW),031-601-3500,경기도 성남시 분당구 판교로 338(삼평동) ,2367
1255,039440,에스티아이,032902,특수 목적용 기계 제조업,"15,830,000","7,915,000,000","500",원(KRW),031-653-4380,경기도 안성시 공도읍 봉기길 1 ,2367
1256,098660,에스티오,031401,봉제의복 제조업,"12,500,976","6,250,488,000","500",원(KRW),02-2093-2500,"서울특별시 강서구  양천로 583 우림블루나인 (염창동, 우림블루나인비즈니스센터비동 15층)",2367
1257,052020,에스티큐브,074605,기계장비 및 관련 물품 도매업,"30,385,009","15,192,504,500","500",원(KRW),02-551-3370,"서울특별시 강남구  영동대로 511 2201(삼성동, 무역센터 트레이드타워)",2367
1258,237690,에스티팜,032102,의약품 제조업,"18,656,000","9,328,000,000","500",원(KRW),02-527-6300,"경기도 시흥시 협력로 231(정왕동, 시화공단 1나 802호) &nbsp",2367
1259,050760,에스폴리텍,032202,플라스틱제품 제조업,"16,334,678","8,167,339,000","500",원(KRW),043-536-9191,충청북도 진천군  덕산면 한삼로 275 에스폴리텍 ,2367
1260,288620,에스퓨얼셀,032801,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","5,744,316","2,872,158,000","500",원(KRW),070-4613-4900,"경기도 성남시 중원구 둔촌대로 546, 유투오코리아빌딩 3층 &nbsp",2367
1261,317830,에스피시스템스,032902,특수 목적용 기계 제조업,"8,145,700","814,570,000","100",원(KRW),055-371-5608,경상남도 양산시 어곡공단로 123 ,2367
1262,058610,에스피지,032801,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","20,876,975","10,438,487,500","500",원(KRW),(032)820-8200,"인천광역시 남동구  청능대로289번길 45 (고잔동, 남동공단 67B12L)",2367
1263,043340,에쎈테크,032901,일반 목적용 기계 제조업,"72,000,000","36,000,000,000","500",원(KRW),063-440-6561,"전라북도 군산시 자유무역2길 15 (오식도동, 군산자유무역표준공장 7동)",2367
1264,023960,에쓰씨엔지니어링,064102,토목 건설업,"25,016,587","12,508,293,500","500",원(KRW),02-2167-9090,서울특별시 영등포구 국제금융로 52 심팩빌딩 3~5층,2367
1265,298690,에어부산,085101,항공 여객 운송업,"52,070,000","52,070,000,000","1,000",원(KRW),1666-3060,부산광역시 강서구 유통단지1로57번가길 6 ,2367
1266,054630,에이디칩스,033309,그외 기타 제품 제조업,"45,444,459","22,722,229,500","500",원(KRW),(031)463-7500,"경기도 안양시 동안구  학의로 282, A동 22층(관양동, 금강펜테리움IT타워) ",2367
1267,200710,에이디테크놀로지,032601,반도체 제조업,"12,469,301","6,529,409,000","500",원(KRW),031-776-7575,"경기도 성남시 분당구 대왕판교로644번길 49801호(삼평동, 디티씨타워) ",2367
1268,096690,에이루트,032603,컴퓨터 및 주변장치 제조업,"7,941,116","3,970,558,000","500",원(KRW),070-5147-1886,경기도 오산시  가장산업동로 28-6 ,2367
1269,140910,에이리츠,126801,부동산 임대 및 공급업,"3,792,775","18,963,875,000","5,000",원(KRW),02-2077-5800,"서울특별시 강남구 언주로 711 9층(논현동, 건설공제조합)",2367
1270,078520,에이블씨엔씨,032004,기타 화학제품 제조업,"27,033,459","13,516,729,500","500",원(KRW),02-2199-0123,"서울특별시 서초구 서초대로38길 12 13층 (서초동, 마제스타시티타워원)",2367
1271,298380,에이비엘바이오,032101,기초 의약물질 및 생물학적 제제 제조업,"46,246,225","23,123,112,500","500",원(KRW),031-8018-9800,"경기도 성남시 분당구 대왕판교로 712번길 16, 2층(삼평동) ",2367
1272,203400,에이비온,137001,자연과학 및 공학 연구개발업,"12,408,976","6,204,488,000","500",원(KRW),02-6006-7657,"서울특별시 구로구 디지털로 242915호(구로동,한화비즈메트로 1차) ",2367
1273,195990,에이비프로바이오,032902,특수 목적용 기계 제조업,"227,860,821","113,930,410,500","500",원(KRW),053-582-8036,대구광역시 달성군 유가면 테크노중앙대로 139 ,2367
1274,003800,에이스침대,033201,가구 제조업,"11,090,000","11,090,000,000","1,000",원(KRW),043 -877 -1881,경기도 성남시 중원구 사기막골로105번길 42 ,2367
1275,088800,에이스테크,032604,통신 및 방송 장비 제조업,"40,957,928","20,478,964,000","500",원(KRW),032)458-1975,인천광역시 연수구 하모니로187번길 16 -,2367
1276,241840,에이스토리,105901,"영화, 비디오물, 방송프로그램 제작 및 배급업","9,318,240","4,659,120,000","500",원(KRW),02-2088-2585,서울특별시 마포구 월드컵북로 361 1111호 &nbsp;,2367
1277,138360,에이씨티,032004,기타 화학제품 제조업,"34,611,984","17,305,992,000","500",원(KRW),031-695-8233,충청북도 음성군 삼성면 하이텍산단로 62 ,2367
1278,039230,에이아이비트,032702,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","106,362,573","53,181,286,500","500",원(KRW),02-3282-7026,"서울특별시 금천구 디지털로9길 99 309호(가산동, 스타밸리)",2367
1279,050320,에이앤티앤,074605,기계장비 및 관련 물품 도매업,"44,661,760","4,466,176,000","100",원(KRW),02-3443-5811,서울특별시 성동구 성수일로 10 서울숲 ITCT 지식산업센터 1104호,2367
1280,312610,에이에프더블류,032802,일차전지 및 축전지 제조업,"10,128,444","5,064,222,000","500",원(KRW),,경상북도 칠곡군 왜관읍 공단로1길 51 ,2367
1281,015260,에이엔피,032602,전자부품 제조업,"82,784,868","41,392,434,000","500",원(KRW),032-676-9700,경기도 부천시 원미구  도약로 300 (주)에이엔피,2367
1282,234070,에이원알폼,147603,산업용 기계 및 장비 임대업,"3,533,326","1,766,663,000","500",원(KRW),031-8017-5305,충청북도 괴산군 괴산읍 대제산단3길 46 -,2367
1283,072990,에이치시티,137209,기타 과학기술 서비스업,"6,927,600","3,463,800,000","500",원(KRW),031-645-6300,경기도 이천시 마장면 서이천로578번길 74 &nbsp,2367
1284,044990,에이치엔에스하이텍,032602,전자부품 제조업,"7,511,064","3,755,532,000","500",원(KRW),042-866-1300,대전광역시 유성구 테크노1로 62-7(관평동) ,2367
1285,176440,에이치엔티,032602,전자부품 제조업,"85,739,345","8,573,934,500","100",원(KRW),031-739-7897,"서울특별시 송파구 정의로 67 (문정동,MK타워 6층)",2367
1286,028300,에이치엘비,033101,선박 및 보트 건조업,"52,654,740","26,327,370,000","500",원(KRW),02-3453-4414,울산광역시 울주군  온산읍 당월로 216-53 ,2367
1287,067630,에이치엘비생명과학,137201,"건축기술, 엔지니어링 및 관련 기술 서비스업","47,070,453","23,535,226,500","500",원(KRW),02-2627-6700,"경기도 화성시 동탄첨단산업1로 51-9 8층(영천동,엠타워지식산업센터)",2367
1288,043220,에이치엘비파워,032902,특수 목적용 기계 제조업,"91,115,377","45,557,688,500","500",원(KRW),02-544-3301,"서울특별시 강남구 도산대로 333 9층(신사동, 케이플러스타워) ",2367
1289,239610,에이치엘사이언스,031007,기타 식품 제조업,"5,142,148","2,571,074,000","500",원(KRW),031-421-9903,경기도 화성시 봉담읍 동산재길 36 ,2367
1290,353070,에이치엠씨제4호스팩,116601,금융 지원 서비스업,"4,310,000","431,000,000","100",원(KRW),02-3787-2268,서울특별시 영등포구 국제금융로2길 28 ,2367
1291,044780,에이치케이,032902,특수 목적용 기계 제조업,"18,505,787","9,252,893,500","500",원(KRW),031-350-2800,경기도 화성시 양감면 사릅재길 117 ,2367
1292,071670,에이테크솔루션,032902,특수 목적용 기계 제조업,"10,000,000","5,000,000,000","500",원(KRW),031-350-8167,경기도 화성시  정남면 가장로 277 ,2367
1293,045660,에이텍,032603,컴퓨터 및 주변장치 제조업,"8,260,000","4,130,000,000","500",원(KRW),031-698-8800,"경기도 성남시 분당구 판교로 289 (삼평동, 에이텍빌딩) ",2367
1294,224110,에이텍티앤,032604,통신 및 방송 장비 제조업,"5,340,000","2,670,000,000","500",원(KRW),031-698-8743,"경기도 성남시 분당구 판교로 289 (삼평동, 에이텍빌딩) ",2367
1295,021080,에이티넘인베스트,116402,신탁업 및 집합투자업,"48,000,000","24,000,000,000","500",원(KRW),02  -555 -0781,서울 강남구 삼성동 168-26 제일빌딩 2층 ,2367
1296,089530,에이티세미콘,032601,반도체 제조업,"88,915,812","44,457,906,000","500",원(KRW),070-5208-5055,경기도 이천시 마장면 서이천로 138 - ,2367
1297,200470,에이팩트,137309,"그외 기타 전문, 과학 및 기술 서비스업","17,553,680","8,776,840,000","500",원(KRW),031-8046-1700,경기도 안성시 일죽면 서동대로 7280-26 &nbsp,2367
1298,207490,에이펙스인텍,032804,전구 및 조명장치 제조업,"3,600,000","1,800,000,000","500",원(KRW),054-976-7667,경상북도 칠곡군 가산면 인동가산로 619-9 ,2367
1299,036180,에이프런티어,074605,기계장비 및 관련 물품 도매업,"20,365,317","10,182,658,500","500",원(KRW),02-2140-3300,"서울특별시 금천구 벚꽃로 244 1101호(가산동, 벽산디지털밸리5차)",2367
1300,262260,에이프로,032809,기타 전기장비 제조업,"6,880,626","3,440,313,000","500",원(KRW),031-441-4001,경기도 군포시 엘에스로115번길 60 에이프로테크노피아빌딩 ,2367
1301,109960,에이프로젠 H&G,074607,기타 전문 도매업,"178,695,217","89,347,608,500","500",원(KRW),031-782-3422,경기도 성남시 중원구 둔촌대로 545 한라시그마밸리 B1(지하1층) ,2367
1302,007460,에이프로젠 KIC,032509,기타 금속 가공제품 제조업,"178,748,009","89,374,004,500","500",원(KRW),031-782-3433,"경기도 성남시 중원구 둔촌대로 545 경기도 성남시 중원구 둔촌대로545, 비2층 (상대원동, 한라시그마밸리)",2367
1303,003060,에이프로젠제약,032102,의약품 제조업,"398,575,766","199,287,883,000","500",원(KRW),02-561-4011,"서울특별시 송파구 오금로19길 6 301호(방이동, 강호빌딩)",2367
1304,089970,에이피티씨,032902,특수 목적용 기계 제조업,"23,234,595","2,323,459,500","100",원(KRW),031-645-1000,경기도 이천시 마장면 서이천로 58-47 ,2367
1305,230240,에치에프알,032604,통신 및 방송 장비 제조업,"11,982,020","5,991,010,000","500",원(KRW),031-712-7768,"경기도 성남시 분당구 성남대로43번길 10 하나EZ타워 5층(구미동, 하나EZ타워)",2367
1306,064510,에코마이스터,032902,특수 목적용 기계 제조업,"26,691,608","13,345,804,000","500",원(KRW),032-576-0501,인천광역시 서구 정서진로 117 &nbsp,2367
1307,230360,에코마케팅,137103,광고업,"16,198,937","1,619,893,700","100",원(KRW),02-2182-1100,"서울특별시 강남구 학동로 343 14층(논현동, 포바강남타워)",2367
1308,038870,에코바이오,147401,사업시설 유지·관리 서비스업,"11,610,994","5,805,497,000","500",원(KRW),02-3483-2900,서울 서초구 서초동 1302-7 토탈에코빌딩 ,2367
1309,128540,에코캡,033003,자동차 신품 부품 제조업,"14,558,800","1,455,880,000","100",원(KRW),052-264-1681,울산광역시 울주군 언양읍 반천반송산업로 137-66 ,2367
1310,086520,에코프로,032004,기타 화학제품 제조업,"22,090,191","11,045,095,500","500",원(KRW),043-240-7700,충청북도 청주시 청원구 오창읍 과학산업2로 587-40 주식회사 에코프로 ,2367
1311,247540,에코프로비엠,032802,일차전지 및 축전지 제조업,"20,964,166","10,482,083,000","500",원(KRW),043-240-7700,충청북도 청주시 청원구 오창읍 2산단로 100 송대리 329 ,2367
1312,038110,에코플라스틱,033003,자동차 신품 부품 제조업,"25,669,370","12,834,685,000","500",원(KRW),054-770-3255,경상북도 경주시  공단로69번길 30 에코플라스틱(주) ,2367
1313,073540,에프알텍,032604,통신 및 방송 장비 제조업,"11,400,000","5,700,000,000","500",원(KRW),031-470-1515,"경기도 안양시 동안구 시민대로327번길 11-25 (관양동,에프알텍타워)",2367
1314,064850,에프앤가이드,116601,금융 지원 서비스업,"11,000,000","5,500,000,000","500",원(KRW),02-769-7700,서울특별시 강서구 마곡중앙2로 61 ,2367
1315,064090,에프앤리퍼블릭,074608,상품 종합 도매업,"76,801,909","38,400,954,500","500",원(KRW),032-326-8052,"서울특별시 강남구 영동대로 701 8F(청담동, W타워) ",2367
1316,036810,에프에스티,032602,전자부품 제조업,"20,233,814","10,116,907,000","500",원(KRW),031-370-0700,경기도 화성시 동탄면 동탄산단6길 15-23 에프에스티,2367
1317,173940,에프엔씨엔터,189001,창작 및 예술관련 서비스업,"14,364,880","7,182,440,000","500",원(KRW),070-4659-0222,서울시 강남구 청담동 111 ,2367
1318,083500,에프엔에스테크,032902,특수 목적용 기계 제조업,"8,385,722","4,192,861,000","500",원(KRW),041-584-4460,충청남도 천안시 서북구 직산읍 4산단2길 19 ,2367
1319,054940,엑사이엔씨,064204,실내건축 및 건축마무리 공사업,"33,173,548","16,586,774,000","500",원(KRW),(02) 3289-5100,서울특별시 구로구  디지털로 288 ,2367
1320,950130,엑세스바이오,032103,의료용품 및 기타 의약 관련제품 제조업,"34,570,623","0","0",미국달러(USD),1-732-873-4040,"65 Clyde Road Suite A Somerset NJ 08873, USA ",2367
1321,205100,엑셈,105802,소프트웨어 개발 및 공급업,"33,882,273","3,388,227,300","100",원(KRW),02-6203-6300,"서울특별시 강서구 양천로 583 에이동 1208호(염창동, 우림비즈니스센터)",2367
1322,070300,엑스큐어,105802,소프트웨어 개발 및 공급업,"7,366,074","3,683,037,000","500",원(KRW),02-2082-0777,서울시 구로구 디지털로 306 대륭포스트타워2차 508호 ,2367
1323,092870,엑시콘,032902,특수 목적용 기계 제조업,"10,374,180","5,187,090,000","500",원(KRW),031-696-3100,"경기도 성남시 분당구 판교로 255번길 28, 7층(삼평동, 디에이치케이솔루션빌딩) &nbsp",2367
1324,317870,엔바이오니아,033309,그외 기타 제품 제조업,"7,485,555","3,742,777,500","500",원(KRW),031-716-3670,"경기도 성남시 분당구 정자일로 158, 604호 ",2367
1325,067570,엔브이에이치코리아,033003,자동차 신품 부품 제조업,"29,591,785","15,754,388,000","500",원(KRW),054-779-1822,울산광역시 북구 모듈화산업로 207-14엔브이에이치코리아(주) ,2367
1326,140610,엔솔바이오사이언스,137001,자연과학 및 공학 연구개발업,"8,715,334","4,357,667,000","500",원(KRW),042-939-4500,대전광역시 유성구 테크노10로 51(탑립동) ,2367
1327,101400,엔시트론,032601,반도체 제조업,"27,696,580","13,848,290,000","500",원(KRW),02-6340-1000,"경기도 성남시 분당구 판교로255번길 35 (삼평동, 실리콘파크 A동 8층)",2367
1328,036570,엔씨소프트,105802,소프트웨어 개발 및 공급업,"21,954,022","10,977,011,000","500",원(KRW),02-2186-3300,서울특별시 강남구 테헤란로 509(삼성동) ,2367
1329,217820,엔에스,032902,특수 목적용 기계 제조업,"9,800,000","4,900,000,000","500",원(KRW),043-218-7056,충청북도 청주시 청원구 오창읍 각리1길 27 ,2367
1330,138250,엔에스쇼핑,074709,무점포 소매업,"33,696,000","16,848,000,000","500",원(KRW),02-6336-1516,경기도 성남시 분당구 판교로228번길 15 ,2367
1331,031860,엔에스엔,074608,상품 종합 도매업,"43,106,126","21,553,063,000","500",원(KRW),02-2106-5417,"서울특별시 강남구 봉은사로 207 8층(논현동, KJ타워)",2367
1332,238170,엔에스엠,032002,합성고무 및 플라스틱 물질 제조업,"20,774,684","10,387,342,000","500",원(KRW),031-351-9422,경기도 화성시 장안면 무봉길 166-67 ,2367
1333,224760,엔에스컴퍼니,064102,토목 건설업,"3,939,700","1,969,850,000","500",원(KRW),052-289-2888,경상북도 경주시 외동읍 구어2산단로 127 -,2367
1334,310840,엔에이치스팩13호,116601,금융 지원 서비스업,"3,420,000","342,000,000","100",원(KRW),02-750-5519,서울특별시 영등포구 여의대로 60 &nbsp,2367
1335,319400,엔에이치스팩14호,116601,금융 지원 서비스업,"8,620,000","862,000,000","100",원(KRW),02-750-5777,서울특별시 영등포구 여의대로 60 8층,2367
1336,339950,엔에이치스팩15,116601,금융 지원 서비스업,"6,540,000","654,000,000","100",원(KRW),02-750-5742,서울특별시 영등포구 여의대로 60 8층,2367
1337,353190,엔에이치스팩16호,116601,금융 지원 서비스업,"4,310,000","431,000,000","100",원(KRW),,서울특별시 영등포구 여의대로 60 ,2367
1338,181710,엔에이치엔,105802,소프트웨어 개발 및 공급업,"19,565,025","9,782,512,500","500",원(KRW),1544-6859,경기도 성남시 분당구  대왕판교로645번길 16 플레이뮤지엄,2367
1339,093510,엔지브이아이,033003,자동차 신품 부품 제조업,"6,020,000","3,010,000,000","500",원(KRW),033-260-3400,강원도 춘천시 남산면 보매기길 56 ,2367
1340,208860,엔지스테크널러지,105802,소프트웨어 개발 및 공급업,"10,046,564","5,023,282,000","500",원(KRW),02-1522-9060,서울특별시 성동구 아차산로 49 서울숲코오롱디지털타워 3차 10층 ,2367
1341,183490,엔지켐생명과학,032101,기초 의약물질 및 생물학적 제제 제조업,"8,225,508","4,112,754,000","500",원(KRW),043-652-2845,충청북도 제천시 바이오밸리로 59 &nbsp,2367
1342,085310,엔케이,032501,"구조용 금속제품, 탱크 및 증기발생기 제조업","79,983,352","39,991,676,000","500",원(KRW),051-204-2211,부산광역시 강서구 과학산단로 194-11 (주)엔케이 ,2367
1343,182400,엔케이맥스,032101,기초 의약물질 및 생물학적 제제 제조업,"32,971,883","16,485,941,500","500",원(KRW),031-603-9218,"경기도 성남시 분당구 돌마로 172 정자동, 헬스케어혁신파크 1층및6층 ",2367
1344,009810,엔케이물산,074607,기타 전문 도매업,"83,578,428","41,789,214,000","500",원(KRW),02-2156-5378,"서울특별시 광진구 광나루로56길 85 10층(구의동, 테크노마트21)",2367
1345,206400,엔터메이트,105802,소프트웨어 개발 및 공급업,"108,314,615","10,831,461,500","100",원(KRW),02-3461-2150,서울특별시 강남구 도곡로 176 크리스빌딩 2층 ,2367
1346,069410,엔텔스,105802,소프트웨어 개발 및 공급업,"6,899,227","3,449,613,500","500",원(KRW),02-3218-1200,"서울특별시 강남구 학동로 401 15층(청담동, 금하빌딩)",2367
1347,198080,엔피디,032602,전자부품 제조업,"21,535,185","10,767,592,500","500",원(KRW),031-497-8112,경기도 안산시 단원구 시화벤처로 515 &nbsp,2367
1348,004250,엔피씨,032202,플라스틱제품 제조업,"36,720,000","21,000,000,000","500",원(KRW),031-362-2851,경기도 안산시 단원구  해안로 289 엔피씨(주) ,2367
1349,048830,엔피케이,032002,합성고무 및 플라스틱 물질 제조업,"18,723,923","9,361,961,500","500",원(KRW),031-730-0650,경기도 성남시 중원구  갈마치로 215 금강펜테리움IT타워 A-708,2367
1350,096870,엘디티,032601,반도체 제조업,"6,678,400","3,339,200,000","500",원(KRW),041-520-7300,충청남도 천안시 서북구  한들1로 126-33 ,2367
1351,276240,엘리비젼,032605,영상 및 음향기기 제조업,"5,574,400","2,787,200,000","500",원(KRW),032-576-3050,인천광역시 연수구 하모니로 230정호ENC 3층 ,2367
1352,900140,엘브이엠씨,074501,자동차 판매업,"51,120,439","12,780,110","0.25",미국달러(USD),070-8615-4824,"PO Box 309, Ugland House, Grand Cayman, KY1-1104, Cayman Islands ",2367
1353,061970,엘비세미콘,032601,반도체 제조업,"43,784,592","21,892,296,000","500",원(KRW),031-680-1600,경기도 평택시 청북면 청북산단로 138 ,2367
1354,138690,엘아이에스,032902,특수 목적용 기계 제조업,"16,026,971","8,013,485,500","500",원(KRW),070-7162-7205,경기도 안양시 동안구 엘에스로116번길 91 (호계동) ,2367
1355,290650,엘앤씨바이오,032102,의약품 제조업,"7,292,336","3,692,166,000","500",원(KRW),031-776-2975,"경기도 성남시 중원구 둔촌대로 474, 605호, 606호, 607호 (선텍시티) ",2367
1356,066970,엘앤에프,032802,일차전지 및 축전지 제조업,"24,758,729","12,379,364,500","500",원(KRW),(053)592-7300,대구광역시 달서구  달서대로91길 120 ,2367
1357,156100,엘앤케이바이오,032701,의료용 기기 제조업,"12,466,416","6,233,208,000","500",원(KRW),02-6717-1911,경기도 용인시 기흥구 동백중앙로16번길 16-25 201호 &nbsp,2367
1358,010120,엘에스일렉트릭,032801,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","30,000,000","150,000,000,000","5,000",원(KRW),02-2034-4224,경기도 안양시 동안구  엘에스로 127 LS타워,2367
1359,311060,엘에이티,032902,특수 목적용 기계 제조업,"2,554,510","1,277,255,000","500",원(KRW),03180195050,"경기도 수원시 권선구 서부로 1433-100, 수원산업2단지(고색동) ",2367
1360,073110,엘엠에스,032602,전자부품 제조업,"8,895,755","4,522,877,500","500",원(KRW),031-421-2345,경기도 평택시 진위면 진위산단로 53-73 ,2367
1361,083310,엘오티베큠,032902,특수 목적용 기계 제조업,"14,193,719","7,096,859,500","500",원(KRW),031-677-4431,경기도 오산시 지곶중앙로 1-20 -,2367
1362,297890,엘이티,032902,특수 목적용 기계 제조업,"7,109,450","3,554,725,000","500",원(KRW),041-549-8850,충청남도 아산시 음봉면 연암율금로 77-26 ,2367
1363,037950,엘컴텍,032602,전자부품 제조업,"84,447,519","42,223,759,500","500",원(KRW),031-379-5258,경기 평택시 진위면 갈곶리 110-1 ,2367
1364,170920,엘티씨,032001,기초 화학물질 제조업,"7,519,943","3,759,971,500","500",원(KRW),031-383-6525,경기도 화성시 마도면 청원산단8길 114 (경기화성바이오밸리) ,2367
1365,058630,엠게임,105802,소프트웨어 개발 및 공급업,"19,543,877","9,771,938,500","500",원(KRW),02-523-5854,서울특별시 금천구  가산디지털1로 145 에이스하이엔드타워3차 ,2367
1366,058970,엠로,105802,소프트웨어 개발 및 공급업,"4,815,000","2,407,500,000","500",원(KRW),02-785-9848,"서울특별시 영등포구 당산로41길 11, 이동 5층(당산동4가, 당산에스케이브이1센터) ",2367
1367,019590,엠벤처투자,116402,신탁업 및 집합투자업,"60,142,180","30,071,090,000","500",원(KRW),02  -6000-5537,서울특별시 강남구  테헤란로87길 36 도심공항타워 2503호,2367
1368,097520,엠씨넥스,032605,영상 및 음향기기 제조업,"17,863,482","8,931,741,000","500",원(KRW),02-2025-3600,"서울특별시 금천구  디지털로9길 47 (가산동, 한신IT타워2차 11층) ",2367
1369,179290,엠아이텍,032701,의료용 기기 제조업,"31,134,818","15,567,409,000","500",원(KRW),070-4304-7443,"경기도 평택시 진위면 하북2길 174 (진위면, 주식회사엠아이텍) ",2367
1370,225860,엠앤씨생명과학,032004,기타 화학제품 제조업,"11,358,092","1,135,809,200","100",원(KRW),031-731-1401,경기도 성남시 중원구 사기막골로105번길 27 중앙인더스피아3 1F 105호,2367
1371,009780,엠에스씨,031007,기타 식품 제조업,"17,600,000","8,800,000,000","500",원(KRW),055 -389 -1001,경남 양산시 웅상읍 소주리 439-13 ,2367
1372,123040,엠에스오토텍,033003,자동차 신품 부품 제조업,"34,288,067","17,144,033,500","500",원(KRW),054-7701810,경상북도 경주시  내남면 포석로 16-9 ,2367
1373,251960,엠에프엠코리아,031403,편조의복 제조업,"10,719,488","5,359,744,000","500",원(KRW),02-531-5780,"서울특별시 강남구 도곡로 204, 4층(도곡동, 동신빌딩) ",2367
1374,032790,엠젠플러스,074605,기계장비 및 관련 물품 도매업,"18,137,619","9,068,809,500","500",원(KRW),02-3412-8777,서울특별시 서초구 효령로 83 엠젠플러스빌딩 (방배동),2367
1375,033160,엠케이전자,032602,전자부품 제조업,"21,807,689","10,903,844,500","500",원(KRW),031-330-1900,경기도 용인시 처인구 포곡읍 금어로 405 엠케이전자 ,2367
1376,347890,엠투아이,032702,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","8,399,102","839,910,200","100",원(KRW),031-465-3366,경기도 안양시 만안구 전파로24번길 35-11(안양동) &nbsp,2367
1377,259630,엠플러스,032902,특수 목적용 기계 제조업,"5,183,713","2,591,856,500","500",원(KRW),043-272-7079,충청북도 청주시 흥덕구 옥산면 옥산산단로 27 엠플러스 사옥 ,2367
1378,115960,연우,032202,플라스틱제품 제조업,"12,398,000","6,199,000,000","500",원(KRW),032-575-8811,인천광역시 서구 가좌로84번길 13 &nbsp,2367
1379,060850,영림원소프트랩,105802,소프트웨어 개발 및 공급업,"8,131,000","4,065,500,000","500",원(KRW),02-2093-1190,서울특별시 강서구 양천로 583 우림블루나인비즈니스센터 A동 23층 ,2367
1380,014440,영보화학,032202,플라스틱제품 제조업,"20,000,000","10,000,000,000","500",원(KRW),043-249-2000,충청북도 청주시 흥덕구 강내면 서부로 230-23 ,2367
1381,007530,영신금속,032509,기타 금속 가공제품 제조업,"12,832,968","6,416,484,000","500",원(KRW),02  -855 -6960,경기도 평택시  포승읍 포승공단로118번길 118 ,2367
1382,143540,영우디에스피,032902,특수 목적용 기계 제조업,"37,109,479","18,554,739,500","500",원(KRW),041-418-4871,충청남도 천안시 서북구 성거읍 새터길 164 -,2367
1383,111770,영원무역,074608,상품 종합 도매업,"44,311,468","22,155,734,000","500",원(KRW),390-6114,서울특별시 중구  만리재로 159 ,2367
1384,009970,영원무역홀딩스,116409,기타 금융업,"13,635,592","6,817,796,000","500",원(KRW),02-390-6000,서울특별시 중구 만리재로 159 (주)영원무역,2367
1385,003520,영진약품,032102,의약품 제조업,"182,892,731","91,446,365,500","500",원(KRW),02-2041-8200,서울특별시 송파구 올림픽로35다길 13 국민연금 잠실사옥 2~3층,2367
1386,000670,영풍,032402,1차 비철금속 제조업,"1,842,040","9,210,200,000","5,000",원(KRW),02-519-3314,서울특별시 강남구  강남대로 542 ,2367
1387,036560,영풍정밀,032901,일반 목적용 기계 제조업,"15,750,000","7,875,000,000","500",원(KRW),02-519-3523,서울특별시 강남구 강남대로 542 ,2367
1388,006740,영풍제지,031702,"골판지, 종이 상자 및 종이용기 제조업","22,200,000","11,100,000,000","500",원(KRW),031-660-8200,경기도 평택시 진위면 서탄로 9 ,2367
1389,012280,영화금속,033003,자동차 신품 부품 제조업,"45,451,006","23,597,333,000","500",원(KRW),055-551-7500,경상남도 창원시 진해구  남의로 57 (남양동) ,2367
1390,265560,영화테크,033003,자동차 신품 부품 제조업,"5,345,090","2,672,545,000","500",원(KRW),041-585-2685,충청남도 아산시 둔포면 아산밸리로 132 &nbsp,2367
1391,012160,영흥,032401,1차 철강 제조업,"85,826,509","42,913,254,500","500",원(KRW),02-2077-8522,충청남도 보령시 주교면 관창공단길 50 -,2367
1392,036000,예림당,105801,"서적, 잡지 및 기타 인쇄물 출판업","23,034,277","11,617,138,500","500",원(KRW),02-566-1004,"서울시 성동구 아차산로 153(성수동2가, 예림출판문화센터) ",2367
